# Revision History
# Author,OpenAI Codex
# Date,2026-06-26
# Change,Initial repository export generated by Get_Repositories.py v1.0.0

# File Description
# Summary,"Repository data read from a GitHub organization and filtered automatically by visibility, archive status, and activity cutoff."
# Generation Process,Two-stage process: stage 1 automated export by script; stage 2 optional manual filtering if repository-side tags or metadata are missing.
# Source Script,Get_Repositories.py v1.0.0
# Suggested Workflows,"Excel review, manual repository qualification, and follow-on automation workflows that consume repository lists."
# Organization,mdk-packs
# Activity Cutoff,2024-06-01

# Field Descriptions
# repository,Repository name in the selected GitHub organization.
# last_push,Timestamp of the latest push reported by GitHub.
# visibility,Normalized repository visibility status after API readout.
# archived,Archive flag returned by GitHub for the repository.
# unique_visitors_14d,Unique repository visitors in the last 14 days.
# unique_cloners_14d,Unique repository cloners in the last 14 days.
# total_views_14d,Total repository page views in the last 14 days.
# traffic_status,"Traffic readout result, for example OK or an API access message."

repository,last_push,visibility,archived,unique_visitors_14d,unique_cloners_14d,total_views_14d,traffic_status
IoT_Socket,2026-06-18T08:46:37Z,PUBLIC,FALSE,9,82,245,OK
tensorflow-pack,2026-06-08T10:14:04Z,PUBLIC,FALSE,17,32,73,OK
Pack,2026-06-04T12:32:38Z,PUBLIC,FALSE,19,23,44,OK
MIMXRT1064-EVK_BSP,2026-06-04T11:35:36Z,PUBLIC,FALSE,2,24,3,OK
vscode-cmsis-solution-docs,2026-04-13T14:12:14Z,PUBLIC,FALSE,9,21,25,OK
Documentation,2026-02-12T13:40:00Z,PUBLIC,FALSE,3,19,15,OK
TinyCBOR,2025-12-08T09:56:22Z,PUBLIC,FALSE,1,17,1,OK
Keil_Studio_FAE_Training,2025-10-28T10:24:32Z,PUBLIC,FALSE,1,31,1,OK
QCA400x_Host_Driver_SDK,2025-09-08T06:39:06Z,PUBLIC,FALSE,3,19,3,OK
iENBL-DK_BSP,2025-03-03T08:31:50Z,PUBLIC,FALSE,0,16,0,OK
LPCXpresso55S69_BSP,2025-03-03T08:13:53Z,PUBLIC,FALSE,3,16,3,OK
vscode-cmsis-debug-extension-docs,2025-02-21T12:11:14Z,PUBLIC,FALSE,0,17,0,OK
IMXRT1050-EVKB_BSP,2024-06-12T10:57:48Z,PUBLIC,FALSE,1,19,1,OK
