# Revision History
# Author,OpenAI Codex
# Date,2026-06-30
# Change,Selected reviewed workbook rows with ignore_status=USE and validated GitHub repository access using Get_Reviewed_Repositories.py v1.0.0

# File Description
# Summary,"Repositories were read from the reviewed workbook, filtered by ignore_status=USE, and checked through the GitHub repository API."
# Generation Process,Two-stage process: stage 1 manual review in Summary_Reviewed_List.xlsx; stage 2 automated access validation for the selected repositories.
# Source Workbook,C:\Users\evagan01\OneDrive - Arm\Documents\Development\Codex\Repository_Analysis\Summary_Reviewed_List.xlsx
# Source Script,Get_Reviewed_Repositories.py v1.0.0

# Field Descriptions
# organization,GitHub organization resolved from the reviewed workbook entry.
# sheet_name,Worksheet name in the reviewed workbook.
# repository,Repository name from the reviewed workbook.
# last_push,Last push timestamp copied from the reviewed workbook.
# visibility,Visibility copied from the reviewed workbook.
# archived,Archived flag copied from the reviewed workbook.
# unique_visitors_14d,Unique visitors in the last 14 days copied from the reviewed workbook.
# unique_cloners_14d,Unique cloners in the last 14 days copied from the reviewed workbook.
# total_views_14d,Total views in the last 14 days copied from the reviewed workbook.
# traffic_status,Traffic readout result copied from the reviewed workbook.
# link_2_repository,Repository URL resolved from the workbook hyperlink column.
# ignore_status,Manual review decision copied from the reviewed workbook.
# access_status,GitHub repository access result for rows marked USE.
# api_visibility,Visibility returned by the GitHub repository API.
# api_archived,Archived flag returned by the GitHub repository API.
# forks_count,Fork count returned by the GitHub repository API.
# default_branch,Default branch returned by the GitHub repository API.
# api_pushed_at,Latest push timestamp returned by the GitHub repository API.
# api_html_url,Canonical repository URL returned by the GitHub repository API.
# api_full_name,Full owner/repository name returned by the GitHub repository API.
# api_status_message,Detailed access message returned or derived from the GitHub API response.

organization,sheet_name,repository,last_push,visibility,archived,unique_visitors_14d,unique_cloners_14d,total_views_14d,traffic_status,link_2_repository,ignore_status,access_status,api_visibility,api_archived,forks_count,default_branch,api_pushed_at,api_html_url,api_full_name,api_status_message
open-cmsis-pack,open-cmisis-pack_raw_list,vscode-cmsis-solution,2026-06-26T09:42:25Z,PUBLIC,FALSE,62,471,1704,OK,https://github.com/open-cmsis-pack/vscode-cmsis-solution,USE,OK,public,FALSE,4,main,2026-06-30T14:16:16Z,https://github.com/Open-CMSIS-Pack/vscode-cmsis-solution,Open-CMSIS-Pack/vscode-cmsis-solution,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32WLxx_DFP,2026-06-26T09:02:14Z,PUBLIC,FALSE,12,60,29,OK,https://github.com/open-cmsis-pack/STM32WLxx_DFP,USE,OK,public,FALSE,2,main,2026-06-26T09:02:14Z,https://github.com/Open-CMSIS-Pack/STM32WLxx_DFP,Open-CMSIS-Pack/STM32WLxx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,devtools,2026-06-26T08:35:05Z,PUBLIC,FALSE,122,464,698,OK,https://github.com/open-cmsis-pack/devtools,USE,OK,public,FALSE,66,main,2026-06-29T14:19:48Z,https://github.com/Open-CMSIS-Pack/devtools,Open-CMSIS-Pack/devtools,OK
open-cmsis-pack,open-cmisis-pack_raw_list,vscode-cmsis-sds,2026-06-26T07:28:29Z,PUBLIC,FALSE,15,338,854,OK,https://github.com/open-cmsis-pack/vscode-cmsis-sds,USE,OK,public,FALSE,1,main,2026-06-30T14:16:21Z,https://github.com/Open-CMSIS-Pack/vscode-cmsis-sds,Open-CMSIS-Pack/vscode-cmsis-sds,OK
open-cmsis-pack,open-cmisis-pack_raw_list,cbuild2cmake,2026-06-25T09:32:00Z,PUBLIC,FALSE,33,122,86,OK,https://github.com/open-cmsis-pack/cbuild2cmake,USE,OK,public,FALSE,5,main,2026-06-28T17:32:29Z,https://github.com/Open-CMSIS-Pack/cbuild2cmake,Open-CMSIS-Pack/cbuild2cmake,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32H7xx_DFP,2026-06-24T15:59:42Z,PUBLIC,FALSE,137,80,313,OK,https://github.com/open-cmsis-pack/STM32H7xx_DFP,USE,OK,public,FALSE,4,main,2026-06-24T15:59:42Z,https://github.com/Open-CMSIS-Pack/STM32H7xx_DFP,Open-CMSIS-Pack/STM32H7xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,cmsis-toolbox,2026-06-24T11:50:35Z,PUBLIC,FALSE,335,232,990,OK,https://github.com/open-cmsis-pack/cmsis-toolbox,USE,OK,public,FALSE,42,main,2026-06-30T14:31:35Z,https://github.com/Open-CMSIS-Pack/cmsis-toolbox,Open-CMSIS-Pack/cmsis-toolbox,OK
open-cmsis-pack,open-cmisis-pack_raw_list,csolution-rpc,2026-06-22T11:13:42Z,PUBLIC,FALSE,5,41,10,OK,https://github.com/open-cmsis-pack/csolution-rpc,USE,OK,public,FALSE,2,main,2026-06-29T11:13:58Z,https://github.com/Open-CMSIS-Pack/csolution-rpc,Open-CMSIS-Pack/csolution-rpc,OK
open-cmsis-pack,open-cmisis-pack_raw_list,debug-adapter-registry,2026-06-22T10:43:49Z,PUBLIC,FALSE,4,50,13,OK,https://github.com/open-cmsis-pack/debug-adapter-registry,USE,OK,public,FALSE,7,main,2026-06-22T10:43:49Z,https://github.com/Open-CMSIS-Pack/debug-adapter-registry,Open-CMSIS-Pack/debug-adapter-registry,OK
open-cmsis-pack,open-cmisis-pack_raw_list,cbuild,2026-06-21T19:22:30Z,PUBLIC,FALSE,38,191,59,OK,https://github.com/open-cmsis-pack/cbuild,USE,OK,public,FALSE,10,main,2026-06-28T19:22:23Z,https://github.com/Open-CMSIS-Pack/cbuild,Open-CMSIS-Pack/cbuild,OK
open-cmsis-pack,open-cmisis-pack_raw_list,csolution-examples,2026-06-15T13:01:15Z,PUBLIC,FALSE,43,284,287,OK,https://github.com/open-cmsis-pack/csolution-examples,USE,OK,public,FALSE,15,main,2026-06-15T13:01:15Z,https://github.com/Open-CMSIS-Pack/csolution-examples,Open-CMSIS-Pack/csolution-examples,OK
open-cmsis-pack,open-cmisis-pack_raw_list,NXP_IMXRT1050-EVKB_BSP,2026-06-05T11:34:24Z,PUBLIC,FALSE,1,24,1,OK,https://github.com/open-cmsis-pack/NXP_IMXRT1050-EVKB_BSP,USE,OK,public,FALSE,4,main,2026-06-05T11:34:24Z,https://github.com/Open-CMSIS-Pack/NXP_IMXRT1050-EVKB_BSP,Open-CMSIS-Pack/NXP_IMXRT1050-EVKB_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,NXP_iMXRT105x_MWP,2026-06-05T11:13:39Z,PUBLIC,FALSE,3,31,12,OK,https://github.com/open-cmsis-pack/NXP_iMXRT105x_MWP,USE,OK,public,FALSE,1,main,2026-06-05T11:13:39Z,https://github.com/Open-CMSIS-Pack/NXP_iMXRT105x_MWP,Open-CMSIS-Pack/NXP_iMXRT105x_MWP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,CMSIS-Driver_STM32,2026-06-03T11:22:13Z,PUBLIC,FALSE,59,40,149,OK,https://github.com/open-cmsis-pack/CMSIS-Driver_STM32,USE,OK,public,FALSE,15,main,2026-06-03T11:22:13Z,https://github.com/Open-CMSIS-Pack/CMSIS-Driver_STM32,Open-CMSIS-Pack/CMSIS-Driver_STM32,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32N6570-DK_BSP,2026-05-20T09:09:41Z,PUBLIC,FALSE,3,28,5,OK,https://github.com/open-cmsis-pack/STM32N6570-DK_BSP,USE,OK,public,FALSE,2,main,2026-05-20T09:09:41Z,https://github.com/Open-CMSIS-Pack/STM32N6570-DK_BSP,Open-CMSIS-Pack/STM32N6570-DK_BSP,OK
