# Revision History
# Author,OpenAI Codex
# Date,2026-06-26
# Change,Initial repository export generated by Get_Repositories.py v1.0.0

# File Description
# Summary,"Repository data read from a GitHub organization and filtered automatically by visibility, archive status, and activity cutoff."
# Generation Process,Two-stage process: stage 1 automated export by script; stage 2 optional manual filtering if repository-side tags or metadata are missing.
# Source Script,Get_Repositories.py v1.0.0
# Suggested Workflows,"Excel review, manual repository qualification, and follow-on automation workflows that consume repository lists."
# Organization,arm-examples
# Activity Cutoff,2024-06-01

# Field Descriptions
# repository,Repository name in the selected GitHub organization.
# last_push,Timestamp of the latest push reported by GitHub.
# visibility,Normalized repository visibility status after API readout.
# archived,Archive flag returned by GitHub for the repository.
# unique_visitors_14d,Unique repository visitors in the last 14 days.
# unique_cloners_14d,Unique repository cloners in the last 14 days.
# total_views_14d,Total repository page views in the last 14 days.
# traffic_status,"Traffic readout result, for example OK or an API access message."

repository,last_push,visibility,archived,unique_visitors_14d,unique_cloners_14d,total_views_14d,traffic_status
topo-lightbulb-moment,2026-06-26T08:39:42Z,PUBLIC,FALSE,13,96,63,OK
topo-llama-web-ui,2026-06-25T14:10:23Z,PUBLIC,FALSE,8,183,194,OK
topo-simd-visual-benchmark,2026-06-24T16:06:59Z,PUBLIC,FALSE,2,37,2,OK
ModelNova,2026-06-24T15:02:36Z,PUBLIC,FALSE,37,232,1355,OK
topo-imx93-ethos-u65-image-classifier,2026-06-24T14:13:19Z,PUBLIC,FALSE,9,10,78,OK
Real-Time-Voice-Assistant,2026-06-24T12:21:26Z,PUBLIC,FALSE,18,52,63,OK
SDS-Examples,2026-06-24T05:35:58Z,PUBLIC,FALSE,18,79,237,OK
LLM-Runner,2026-06-18T14:10:02Z,PUBLIC,FALSE,12,62,75,OK
.github,2026-06-17T14:05:14Z,PUBLIC,FALSE,26,36,58,OK
AVH_CI_Template,2026-06-17T11:10:38Z,PUBLIC,FALSE,79,44,207,OK
topo-welcome,2026-06-09T15:47:01Z,PUBLIC,FALSE,6,36,16,OK
CMSIS-Zephyr,2026-06-05T15:27:27Z,PUBLIC,FALSE,17,28,60,OK
Numerics,2026-06-05T14:02:31Z,PUBLIC,FALSE,9,17,33,OK
